Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [658], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [973], q_ia: [0], i_b: [-687], q_ib: [0], i_c: [-284], q_ic: [0], i_n: [0], q_in: [8192], v_a: [9725], q_va: [0], v_b: [-6878], q_vb: [0], v_c: [-2845], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [187, 157, 235, 171] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [658], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [157], q_ia: [0], i_b: [772], q_ib: [0], i_c: [-936], q_ic: [0], i_n: [0], q_in: [8192], v_a: [1642], q_va: [0], v_b: [7720], q_vb: [0], v_c: [-9364], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [216, 215, 144, 209] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [664], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-358], q_ia: [0], i_b: [-624], q_ib: [0], i_c: [988], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-3647], q_va: [0], v_b: [-6238], q_vb: [0], v_c: [9887], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [187, 52, 151, 98] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [665], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-764], q_ia: [0], i_b: [-170], q_ib: [0], i_c: [938], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-7681], q_va: [0], v_b: [-1702], q_vb: [0], v_c: [9384], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [226, 129, 238, 5] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [660], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [663], q_ia: [0], i_b: [305], q_ib: [0], i_c: [-977], q_ic: [0], i_n: [0], q_in: [8192], v_a: [6717], q_va: [0], v_b: [3055], q_vb: [0], v_c: [-9773], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [191, 105, 157, 140] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [666], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-862], q_ia: [0], i_b: [-1], q_ib: [0], i_c: [866], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-8656], q_va: [0], v_b: [-7], q_vb: [0], v_c: [8663], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [71, 71, 64, 204] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [661], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [878], q_ia: [0], i_b: [-32], q_ib: [0], i_c: [-849], q_ic: [0], i_n: [0], q_in: [8192], v_a: [8820], q_va: [0], v_b: [-331], q_vb: [0], v_c: [-8489], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [161, 241, 127, 186] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [667], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-980], q_ia: [0], i_b: [326], q_ib: [0], i_c: [655], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-9818], q_va: [0], v_b: [3266], q_vb: [0], v_c: [6550], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [42, 218, 3, 246] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [662], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [989], q_ia: [0], i_b: [-375], q_ib: [0], i_c: [-614], q_ic: [0], i_n: [0], q_in: [8192], v_a: [9905], q_va: [0], v_b: [-3762], q_vb: [0], v_c: [-6141], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [239, 38, 63, 86] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [669], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-920], q_ia: [0], i_b: [801], q_ib: [0], i_c: [116], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-9184], q_va: [0], v_b: [8018], q_vb: [0], v_c: [1164], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [72, 183, 246, 27] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [664], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [900], q_ia: [0], i_b: [-830], q_ib: [0], i_c: [-66], q_ic: [0], i_n: [0], q_in: [8192], v_a: [8973], q_va: [0], v_b: [-8309], q_vb: [0], v_c: [-662], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [193, 166, 124, 67] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [670], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-644], q_ia: [0], i_b: [985], q_ib: [0], i_c: [-345], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-6396], q_va: [0], v_b: [9855], q_vb: [0], v_c: [-3460], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [60, 39, 210, 193] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [671], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-524], q_ia: [0], i_b: [999], q_ib: [0], i_c: [-480], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-5195], q_va: [0], v_b: [9997], q_vb: [0], v_c: [-4804], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [44, 63, 34, 41] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [666], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [518], q_ia: [0], i_b: [-999], q_ib: [0], i_c: [485], q_ic: [0], i_n: [0], q_in: [8192], v_a: [5138], q_va: [0], v_b: [-9998], q_vb: [0], v_c: [4861], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [234, 84, 35, 228] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [672], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-97], q_ia: [0], i_b: [908], q_ib: [0], i_c: [-816], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-912], q_va: [0], v_b: [9080], q_vb: [0], v_c: [-8168], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [197, 153, 43, 209] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [667], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [190], q_ia: [0], i_b: [-938], q_ib: [0], i_c: [767], q_ic: [0], i_n: [0], q_in: [8192], v_a: [1713], q_va: [0], v_b: [-9388], q_vb: [0], v_c: [7677], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [23, 155, 151, 177] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [673], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [110], q_ia: [0], i_b: [799], q_ib: [0], i_c: [-919], q_ic: [0], i_n: [0], q_in: [8192], v_a: [1200], q_va: [0], v_b: [7996], q_vb: [0], v_c: [-9198], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [178, 29, 178, 42] }
Received Ethernet Frame: EthernetFrame { destination: [1, 12, 205, 4, 255, 255], source: [0, 26, 17, 0, 0, 1], tpid: 33024, tci: 32768, ethertype: 35002, payload: SvPDU { appid: [64, 1], length: [0, 102], reserved1: [0, 0], reserved2: [0, 0], apdu: SmvData { sav_pdu_asn: [96, 92], no_asdu_asn: [128, 1], no_asdu: 1, seq_asdu_asn: [162, 87], asdu_asn: [48, 85], sv_id_asn: [128, 4], sv_id: [875573297], smp_cnt_asn: [130, 2], smp_cnt: [668], conf_rev_asn: [131, 4], conf_rev: [1], smp_synch_asn: [133, 1], smp_synch: 1, seq_data: [135, 64], logical_node: LogicalNode { i_a: [-126], q_ia: [0], i_b: [-791], q_ib: [0], i_c: [924], q_ic: [0], i_n: [0], q_in: [8192], v_a: [-1330], q_va: [0], v_b: [-7917], q_vb: [0], v_c: [9249], q_vc: [0], v_n: [0], q_vn: [8192] } } }, fcs: [192, 11, 215, 166] }
